ponto_id,longitude,latitude,item_id,data_aquisicao,tile,nuvens_item_pct,resolucao_m,pixels_total,pixels_validos,fracao_valida,ndvi_media,ndvi_mediana,ndvi_p90,fracao_vegetacao_densa,periodo
P001,-45.9512896,-23.2602229,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.08891377598047256,0.08062015473842621,0.16124460101127625,0.0,2024
P002,-45.9499994,-23.259387,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.08764421194791794,0.05628616362810135,0.24761173129081726,0.0,2024
P003,-45.947999,-23.2581007,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.11013004183769226,0.06351706385612488,0.2618925869464874,0.0,2024
P004,-45.9455922,-23.2567336,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.10679452866315842,0.09101760387420654,0.20686458051204681,0.0,2024
P005,-45.9440003,-23.2555288,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.07302631437778473,0.056603774428367615,0.12797380983829498,0.0,2024
P006,-45.9424476,-23.2547414,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.06986984610557556,0.06510219722986221,0.12258762121200562,0.0,2024
P007,-45.9403855,-23.2534074,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.051607921719551086,0.03714240714907646,0.11019701510667801,0.0,2024
P008,-45.938697,-23.2521122,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.09060854464769363,0.07801084220409393,0.18332946300506592,0.0,2024
P009,-45.936968,-23.2511867,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.08073022216558456,0.06394746154546738,0.15786249935626984,0.0,2024
P010,-45.9345238,-23.249627,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.05567236244678497,0.045026179403066635,0.09894899278879166,0.0,2024
P011,-45.9329924,-23.2484889,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.06711424142122269,0.054619014263153076,0.1256389617919922,0.0,2024
P012,-45.931381,-23.2476343,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.08615882694721222,0.06802919507026672,0.16699941456317902,0.0,2024
P013,-45.9296264,-23.2463325,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.09085115790367126,0.06111603230237961,0.21847938001155853,0.0,2024
P014,-45.9273176,-23.2447763,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.12331648916006088,0.10278207063674927,0.1991112381219864,0.0,2024
P015,-45.9260457,-23.2438114,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.09978529065847397,0.06852409988641739,0.21716412901878357,0.0,2024
P016,-45.9239726,-23.2421593,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.09879138320684433,0.07305441051721573,0.19973072409629822,0.0,2024
P017,-45.922858,-23.2411129,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.09557218104600906,0.07879986613988876,0.1785639077425003,0.0,2024
P018,-45.9213146,-23.2396888,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.0913630798459053,0.06946513056755066,0.18909446895122528,0.0,2024
P019,-45.9202973,-23.2385589,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.10165005922317505,0.06499999761581421,0.25774645805358887,0.0,2024
P020,-45.9188575,-23.2374416,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.11274648457765579,0.07549984753131866,0.2555243670940399,0.0,2024
P021,-45.9176124,-23.2362821,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.11073284596204758,0.08120020478963852,0.18944403529167175,0.0,2024
P022,-45.9162493,-23.2347839,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.07462935149669647,0.06331580132246017,0.10455673933029175,0.0,2024
P023,-45.9145337,-23.2333907,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.08917605131864548,0.0775560587644577,0.16206741333007812,0.0,2024
P024,-45.9133162,-23.2322415,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.09914888441562653,0.07422802597284317,0.19184093177318573,0.0,2024
P025,-45.9114144,-23.2304542,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.08365414291620255,0.0716129019856453,0.1351708024740219,0.0,2024
P026,-45.9091561,-23.2284187,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.060904402285814285,0.058771148324012756,0.10540027916431427,0.0,2024
P027,-45.9053188,-23.2246019,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.06697143614292145,0.0602409653365612,0.1072380319237709,0.0,2024
P028,-45.9038062,-23.2231899,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.10927459597587585,0.09339647740125656,0.1930454820394516,0.0,2024
P029,-45.9011783,-23.2210474,S2A_MSIL2A_20240823T131241_R138_T23KLQ_20240823T194758,2024-08-23,23KLQ,0.002442,10.0,113,113,1.0,0.07620879262685776,0.0732278823852539,0.12443254142999649,0.0,2024
