ponto_id,longitude,latitude,fracao_valida_anterior,fracao_valida_atual,fracao_vegetacao_densa_anterior,fracao_vegetacao_densa_atual,ndvi_media_anterior,ndvi_media_atual,ndvi_mediana_anterior,ndvi_mediana_atual,ndvi_p90_anterior,ndvi_p90_atual,pixels_validos_anterior,pixels_validos_atual,delta_ndvi_media,delta_fracao_densa,indice_prioridade_0_100,prioridade_inspecao,criterio_rotulo
P070,-45.7929528,-23.1559496,1.0,1.0,0.0,0.0442477876106194,0.2417087107896804,0.251559317111969,0.2376311868429184,0.2199276089668274,0.3840145468711853,0.4556752145290375,113,113,0.009850606322288596,0.0442477876106194,74.2,alta,ndvi_p90_atual=0.456; delta_ndvi=0.010
P088,-45.7576024,-23.1381509,1.0,1.0,0.0,0.0,0.2737998366355896,0.2825877368450165,0.2977527976036072,0.2931665182113647,0.3971524834632873,0.4448077082633972,113,113,0.00878790020942688,0.0,72.1,alta,ndvi_p90_atual=0.445; delta_ndvi=0.009
P057,-45.8299299,-23.1745039,1.0,1.0,0.0,0.0,0.1425585001707077,0.1933877021074295,0.134700134396553,0.1648351699113845,0.2110617160797119,0.3844612836837768,113,113,0.0508292019367218,0.0,69.9,alta,ndvi_p90_atual=0.384; delta_ndvi=0.051
P087,-45.7592903,-23.1388288,1.0,1.0,0.0,0.0,0.2579540610313415,0.2615985870361328,0.2630680501461029,0.2618343234062195,0.3961073160171509,0.4037172496318817,113,113,0.0036445260047913153,0.0,63.9,alta,ndvi_p90_atual=0.404; delta_ndvi=0.004
P035,-45.8784615,-23.1996111,1.0,1.0,0.0,0.0,0.1531592905521392,0.1519165933132171,0.1204188466072082,0.1094691827893257,0.351857453584671,0.4073560237884521,113,113,-0.0012426972389220914,0.0,63.5,alta,ndvi_p90_atual=0.407; delta_ndvi=-0.001
P063,-45.8084429,-23.1636272,1.0,1.0,0.0,0.0,0.2161454856395721,0.2167134433984756,0.1974248886108398,0.1917246282100677,0.3884412944316864,0.3881514072418213,113,113,0.0005679577589035034,0.0,60.5,media,ndvi_p90_atual=0.388; delta_ndvi=0.001
P086,-45.7609623,-23.1396774,1.0,1.0,0.0,0.0,0.1915092468261718,0.222720980644226,0.1553488373756408,0.2225586622953415,0.3249531686306,0.3503576219081878,113,113,0.0312117338180542,0.0,60.1,media,ndvi_p90_atual=0.350; delta_ndvi=0.031
P089,-45.7557044,-23.1370263,1.0,1.0,0.0,0.0,0.2499671578407287,0.2647590935230255,0.2639314234256744,0.2959632575511932,0.3393168449401855,0.3637322187423706,113,113,0.014791935682296808,0.0,59.1,media,ndvi_p90_atual=0.364; delta_ndvi=0.015
P071,-45.7915009,-23.1551114,1.0,1.0,0.0,0.0,0.2547424733638763,0.2393746823072433,0.2717299461364746,0.2095907330513,0.3493802845478058,0.3853884935379028,113,113,-0.015367791056632996,0.0,56.9,media,ndvi_p90_atual=0.385; delta_ndvi=-0.015
P091,-45.7514018,-23.1350142,1.0,1.0,0.0,0.0,0.208565279841423,0.2124388068914413,0.218122974038124,0.1881589591503143,0.2966037690639496,0.3632449209690094,113,113,0.003873527050018283,0.0,56.8,media,ndvi_p90_atual=0.363; delta_ndvi=0.004
