ponto_id,longitude,latitude
P001,-45.9512896,-23.2602229
P002,-45.9499994,-23.259387
P003,-45.947999,-23.2581007
P004,-45.9455922,-23.2567336
P005,-45.9440003,-23.2555288
P006,-45.9424476,-23.2547414
P007,-45.9403855,-23.2534074
P008,-45.938697,-23.2521122
P009,-45.936968,-23.2511867
P010,-45.9345238,-23.249627
P011,-45.9329924,-23.2484889
P012,-45.931381,-23.2476343
P013,-45.9296264,-23.2463325
P014,-45.9273176,-23.2447763
P015,-45.9260457,-23.2438114
P016,-45.9239726,-23.2421593
P017,-45.922858,-23.2411129
P018,-45.9213146,-23.2396888
P019,-45.9202973,-23.2385589
P020,-45.9188575,-23.2374416
P021,-45.9176124,-23.2362821
P022,-45.9162493,-23.2347839
P023,-45.9145337,-23.2333907
P024,-45.9133162,-23.2322415
P025,-45.9114144,-23.2304542
P026,-45.9091561,-23.2284187
P027,-45.9053188,-23.2246019
P028,-45.9038062,-23.2231899
P029,-45.9011783,-23.2210474
P030,-45.8994403,-23.2193674
P031,-45.8967109,-23.2166133
P032,-45.8921681,-23.2123262
P033,-45.8876504,-23.2081222
P034,-45.8838996,-23.2046542
P035,-45.8784615,-23.1996111
P036,-45.8773358,-23.1986594
P037,-45.876045,-23.1977746
P038,-45.8747831,-23.197066
P039,-45.8734504,-23.196169
P040,-45.8715213,-23.1952891
P041,-45.8701988,-23.1945064
P042,-45.8686602,-23.1937087
P043,-45.8664561,-23.1926438
P044,-45.8650608,-23.1919238
P045,-45.8636874,-23.1912501
P046,-45.8590924,-23.1889735
P047,-45.8575626,-23.1883802
P048,-45.8546778,-23.1867795
P049,-45.8524734,-23.1856714
P050,-45.8454424,-23.182137
P051,-45.8437861,-23.1813081
P052,-45.8400941,-23.1796057
P053,-45.837751,-23.178287
P054,-45.8352677,-23.1770304
P055,-45.8336041,-23.1761886
P056,-45.8322929,-23.1755353
P057,-45.8299299,-23.1745039
P058,-45.8266205,-23.1727091
P059,-45.8224892,-23.1706507
P060,-45.8180369,-23.1684262
P061,-45.8158312,-23.1673229
P062,-45.8110544,-23.1649335
P063,-45.8084429,-23.1636272
P064,-45.8060318,-23.1624084
P065,-45.8044808,-23.1617463
P066,-45.8019397,-23.1603456
P067,-45.8002358,-23.1594871
P068,-45.7979563,-23.1584776
P069,-45.7958486,-23.1574222
P070,-45.7929528,-23.1559496
P071,-45.7915009,-23.1551114
P072,-45.7866966,-23.1526762
P073,-45.7853693,-23.1520073
P074,-45.7836529,-23.1511436
P075,-45.7819916,-23.1502911
P076,-45.7804229,-23.1494903
P077,-45.7780079,-23.1482708
P078,-45.7760619,-23.1474184
P079,-45.7747463,-23.1467538
P080,-45.7727475,-23.1457487
P081,-45.7710928,-23.1449166
P082,-45.7683161,-23.1433887
P083,-45.7669978,-23.1427129
P084,-45.7648654,-23.1416499
P085,-45.7625053,-23.1404481
P086,-45.7609623,-23.1396774
P087,-45.7592903,-23.1388288
P088,-45.7576024,-23.1381509
P089,-45.7557044,-23.1370263
P090,-45.7540586,-23.136196
P091,-45.7514018,-23.1350142
P092,-45.74995,-23.1342833
